partial_index,m,c,mech,rep,snp_num,N,q,sd,se,ci,index_nosnp,mean_q
0.01 0 dmi 1.16,0.01,0,dmi,20,1.16,150,0.526666666666667,0.341663256380645,0.027896688066343,0.0551242232329784,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,4,1.16,150,0.566666666666667,0.378387015872322,0.0308951704727196,0.0610492639810477,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,19,1.16,150,0.47,0.343833501145638,0.0280738878093822,0.0554743722603071,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,11,1.16,150,0.536666666666667,0.366814084662701,0.0299502445963229,0.0591820779973483,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,12,1.16,150,0.45,0.351172532597592,0.0286731172181664,0.0566584574685235,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,17,1.16,150,0.57,0.357235845995932,0.0291681846840503,0.0576367173049552,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,5,1.16,150,0.533333333333333,0.355525259708544,0.0290285158985468,0.0573607299442885,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,9,1.16,150,0.33,0.311038528872153,0.0253961895360903,0.0501832051864066,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,6,1.16,150,0.513333333333333,0.361515576848703,0.0295176232449081,0.058327212506003,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,13,1.16,150,0.35,0.341483144906207,0.0278819820260365,0.0550951639035412,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,1,1.16,150,0.573333333333333,0.354201373480385,0.0289204210406639,0.0571471330806715,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,3,1.16,150,0.516666666666667,0.368274894895499,0.0300695192523693,0.0594177662894603,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,15,1.16,150,0.51,0.373042991926538,0.0304588327447068,0.0601870548805715,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,18,1.16,150,0.43,0.352507794192473,0.0287821408708529,0.0568738896429118,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,16,1.16,150,0.58,0.338175126387768,0.0276118834450414,0.0545614455482197,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,14,1.16,150,0.543333333333333,0.370636431902267,0.0302623379415453,0.059798778560177,0.01 0 dmi,0.498
0.01 0 dmi 1.16,0.01,0,dmi,2,1.16,150,0.38,0.346022461155575,0.0282526156457723,0.0558275408202338,0.01 0 dmi,0.498
0.01 0 dmi 1.17,0.01,0,dmi,20,1.17,150,0.503333333333333,0.364059266999404,0.0297253146760067,0.0587376135107471,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,19,1.17,150,0.48,0.342121294084089,0.0279340866882228,0.0551981234026403,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,5,1.17,150,0.506666666666667,0.352301477567434,0.0287652951889595,0.0568406023535034,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,10,1.17,150,0.606666666666667,0.345569594320761,0.0282156392235483,0.0557544749226553,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,7,1.17,150,0.533333333333333,0.355525259708544,0.0290285158985468,0.0573607299442885,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,18,1.17,150,0.42,0.362133869718527,0.0295681066463304,0.0584269683724681,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,12,1.17,150,0.42,0.338175126387768,0.0276118834450414,0.0545614455482197,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,9,1.17,150,0.43,0.347715458771186,0.0283908483222389,0.056100690410519,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,6,1.17,150,0.523333333333333,0.358673294849894,0.029285551891502,0.0578686364535085,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,11,1.17,150,0.533333333333333,0.373926502247132,0.0305309710603047,0.0603296011428092,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,16,1.17,150,0.646666666666667,0.325363331583554,0.0265658047797226,0.0524943803206502,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,3,1.17,150,0.513333333333333,0.352110924153565,0.0287497365678687,0.0568098583132013,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,8,1.17,150,0.536666666666667,0.333260618467033,0.0272106155536192,0.0537685349069858,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,15,1.17,150,0.49,0.349832174528831,0.0285636774401302,0.0564422030249606,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,4,1.17,150,0.596666666666667,0.378520019182209,0.0309060301474971,0.0610707228415136,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,1,1.17,150,0.563333333333333,0.348999849361839,0.0284957183748233,0.0563079150163707,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,13,1.17,150,0.353333333333333,0.345375326754961,0.0281997773432222,0.055723131638108,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,17,1.17,150,0.55,0.365224946772488,0.0298204920309247,0.0589256852182825,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,2,1.17,150,0.393333333333333,0.335718535566689,0.0274113036444265,0.0541650972190264,0.01 0 dmi,0.5055
0.01 0 dmi 1.17,0.01,0,dmi,14,1.17,150,0.51,0.377513944806665,0.030823884518718,0.0609084019965566,0.01 0 dmi,0.5055
0.01 0 dmi 1.18,0.01,0,dmi,7,1.18,150,0.526666666666667,0.360772226692373,0.0294569289588005,0.0582072797968439,0.01 0 dmi,0.498166666666667
